Mark,Venue,Date,Athlete,Country,Height_meters,Year
2.0,"Palo Alto, California",1912-05-18, George Horine ,USA,2.0,1912
2.01,"Berkeley, California",1914-05-02, Edward Beeson ,USA,2.01,1914
2.03,"Urbana, Illinois",1924-05-27, Harold Osborn ,USA,2.03,1924
2.04,"Fresno, California",1933-05-13, Walter Marty ,USA,2.04,1933
2.06,"Palo Alto, California",1934-04-28, Walter Marty ,USA,2.06,1934
2.07,New York,1936-07-12, Cornelius Johnson ,USA,2.07,1936
2.07,New York,1936-07-12, Dave Albritton ,USA,2.07,1936
2.09,"Malmö, Sweden",1937-08-12, Mel Walker ,USA,2.09,1937
2.11,Los Angeles,1941-06-17, Lester Steers ,USA,2.11,1941
2.12,"Dayton, Ohio",1953-06-27, Walt Davis ,USA,2.12,1953
2.15,Los Angeles,1956-06-29, Charles Dumas ,USA,2.15,1956
2.16,"Leningrad, Soviet Union",1957-07-13, Yuriy Stepanov ,URS,2.16,1957
2.17,Philadelphia,1960-04-30, John Thomas ,USA,2.17,1960
2.17,"Cambridge, Massachusetts",1960-05-21, John Thomas ,USA,2.17,1960
2.18,"Bakersfield, California",1960-06-24, John Thomas ,USA,2.18,1960
2.22,"Palo Alto, California",1960-07-01, John Thomas ,USA,2.22,1960
2.23,Moscow,1961-06-18, Valeriy Brumel ,URS,2.23,1961
2.24,Moscow,1961-07-16, Valeriy Brumel ,URS,2.24,1961
2.25,"Sofia, Bulgaria",1961-08-31, Valeriy Brumel ,URS,2.25,1961
2.26,"Palo Alto, California",1962-07-22, Valeriy Brumel ,URS,2.26,1962
2.27,Moscow,1962-09-29, Valeriy Brumel ,URS,2.27,1962
2.28,Moscow,1963-07-21, Valeriy Brumel ,URS,2.28,1963
2.29,"Berkeley, California",1971-07-03, Pat Matzdorf ,USA,2.29,1971
2.3,Munich,1973-07-11, Dwight Stones ,USA,2.3,1973
2.31,Philadelphia,1976-06-05, Dwight Stones ,USA,2.31,1976
2.32,Philadelphia,1976-08-04, Dwight Stones ,USA,2.32,1976
2.33,"Richmond, Virginia",1977-06-02, Vladimir Yashchenko ,URS,2.33,1977
2.34,"Tbilisi, Soviet Union",1978-06-16, Vladimir Yashchenko ,URS,2.34,1978
2.35,"Eberstadt, West Germany",1980-05-25, Jacek Wszola ,POL,2.35,1980
2.35,"Rehlingen, West Germany",1980-05-26, Dietmar Mögenburg ,FRG,2.35,1980
2.36,"Moscow, Soviet Union",1980-08-01, Gerd Wessig ,GDR,2.36,1980
2.37,"Beijing, China",1983-06-11, Zhu Jianhua ,CHN,2.37,1983
2.38,"Shanghai, China",1983-09-22, Zhu Jianhua ,CHN,2.38,1983
2.39,"Eberstadt, West Germany",1984-06-10, Zhu Jianhua ,CHN,2.39,1984
2.4,"Donetsk, Soviet Union",1985-08-11, Rudolf Povarnitsyn ,URS,2.4,1985
2.41,"Kobe, Japan",1985-09-04, Igor Paklin ,URS,2.41,1985
2.42,"Stockholm, Sweden",1987-06-30, Patrik Sjöberg ,SWE,2.42,1987
2.42,West Berlin,1988-02-26, Carlo Thränhardt ,FRG,2.42,1988
2.43,"Salamanca, Spain",1988-09-08, Javier Sotomayor ,CUB,2.43,1988
2.44,"San Juan, Puerto Rico",1989-07-29, Javier Sotomayor ,CUB,2.44,1989
2.45,"Salamanca, Spain",1993-07-27, Javier Sotomayor ,CUB,2.45,1993
