NOC,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Country,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
ARG,223,75.0,68.0,80.0,Argentina,ARG,Argentina,49,46,56,86,20.4,61.83
AUS,1261,330.0,435.0,496.0,Australia,AUL,Australia,38,90,61,51,21.16,71.43
AUT,62,12.0,25.0,25.0,Austria,AUT,Austria,11,55,79,70,60.45,62.72
BEL,102,20.0,45.0,37.0,Belgium,BEL,Belgium,65,75,54,94,81.86,56.7
BRA,468,108.0,174.0,186.0,Brazil,BRA,Brazil,69,38,49,76,43.83,59.15
BUL,336,53.0,142.0,141.0,Bulgaria,BUL,Bulgaria,70,30,40,85,69.02,15.85
CAN,499,92.0,167.0,240.0,Canada,CAN,Canada,39,80,52,48,36.02,68.3
CHI,31,3.0,8.0,20.0,Chile,CHL,Chile,63,23,28,86,30.98,68.0
CHN,909,334.0,317.0,258.0,China,CHI,China,80,20,66,30,87.41,23.66
COL,27,5.0,8.0,14.0,Colombia,COL,Colombia,67,13,64,80,13.1,83.04
CRO,138,54.0,48.0,36.0,Croatia,CRO,Croatia,73,33,40,80,58.44,33.26
CZE,71,15.0,24.0,32.0,Czech Rep,CZE,Czech Rep,57,58,57,74,70.03,29.46
DEN,322,121.0,81.0,120.0,Denmark,DEN,Denmark,18,74,16,23,34.76,69.64
ESP,458,104.0,220.0,134.0,Spain,SPA,Spain,57,51,42,86,47.61,43.53
EST,18,3.0,4.0,11.0,Estonia,EST,Estonia,40,60,30,60,82.12,16.29
FIN,184,54.0,34.0,96.0,Finland,FIN,Finland,33,63,26,59,38.29,57.37
FRA,864,265.0,269.0,330.0,France,FRA,France,68,71,43,86,63.48,47.77
FRG,504,144.0,172.0,188.0,Germany,GER,Germany,35,67,66,65,82.87,40.4
GBR,985,275.0,347.0,363.0,Great Britain,GBR,Great Britain,35,89,66,35,51.13,69.42
GDR,843,339.0,277.0,227.0,Germany,GER,Germany,35,67,66,65,82.87,40.4
GER,1238,396.0,357.0,485.0,Germany,GER,Germany,35,67,66,65,82.87,40.4
GRE,91,25.0,35.0,31.0,Greece,GRE,Greece,60,35,57,112,45.34,49.55
HKG,4,1.0,2.0,1.0,Hong Kong,HOK,Hong Kong,68,25,57,29,60.96,16.96
HUN,928,348.0,266.0,314.0,Hungary,HUN,Hungary,46,80,88,82,58.19,31.47
INA,41,11.0,17.0,13.0,Indonesia,IDO,Indonesia,78,14,46,48,61.96,37.72
IND,140,83.0,17.0,40.0,India,IND,India,77,48,56,40,50.88,26.12
IRI,68,18.0,21.0,29.0,Iran,IRA,Iran,58,41,43,59,13.6,40.4
IRL,30,6.0,12.0,12.0,Ireland,IRE,Ireland,28,70,68,35,24.43,64.96
